golden_example_id,golden_intent,customer_message,rank,retrieval_score,retrieved_customer_text,retrieved_brand_response,retrieved_conversation_root,retrieved_customer_created_at
1,,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1,32.20677722910863,@AmazonHelp I followed all steps except waiting 36 hrs... I do not believe the package was delivered at all. what happens after 36 hrs?,"@401470 We suggest reaching us directly via phone or chat after waiting. Please, keep us updated! We want to make sure it arrives.^EB",1197952,2017-10-25 03:42:27+00:00
2,,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1,36.470087564751175,No compréis nunca un @117634 en @116928 Menuda atención al cliente más nefasta para un producto en garantía... da igual ser Prime!,"@468211 Hola Mery, ¿qué ha sucedido? ¿Cómo podemos ayudarte? ^LG",1499824,2017-11-03 14:59:34+00:00
3,,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,1,18.454013617698596,@115821 why do my orders disappear when an item goes out of stock but I don’t get a notification about it so I can order something else?,@672085 I'm sorry you didn't receive any notifications! Did you receive an e-mail from Amazon about your order? ^DD,2318469,2017-10-19 23:21:38+00:00
4,,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,1,37.9497561980298,@AmazonHelp your customer service is shit and your people are rude as fuck lmfao,@343475 I'm sorry you've had a poor experience. We'd like to help if we can. Can you tell us what you were contacting us about? ^AL,942688,2017-10-21 16:19:29+00:00
5,,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,1,20.83614124282617,@115850 eagerly waiting for all.  😊😊 https://t.co/eakw6TVrpM,@198756 Someones on a shopping spree! Hope everything you ordered works out for ya! 😃 ^PS,347501,2017-10-08 04:21:06+00:00
6,,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",1,33.738073512727155,@AmazonHelp so another whole day wasted waiting in for my item 3 days on the run shocking service,@187547 We want to investigate this further with you. Please reach out to us using this secure link: https://t.co/F0klXNOiJ6 ^GR,336173,2017-10-07 21:03:00+00:00
7,,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",1,23.140609296126495,@115821 why won't you let me log into my account,"@733791 Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM",2590707,2017-10-30 19:44:14+00:00
8,,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",1,43.36602383709422,Te amo @116875,@736330 ¡También te amamos Luis! 😍 😍 😍 ^DQ https://t.co/p9OamFYfFl,2601481,2017-11-17 07:49:25+00:00
9,,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,1,25.64737840202443,"Hey, @AmazonHelp:
Someone is stalking me on your platform using the name of a stalking victim who committed suicide.
https://t.co/uMorv2gy9u https://t.co/DkstOgXNLw",@227732 Hey Tim. Please forward your details - https://t.co/tkLCr7DNil we'd like to investigate further. ^TP,850184,2017-10-13 12:46:40+00:00
10,,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",1,26.517747454871845,@AmazonHelp I have not received my package which was to be delivered yesterday.,@318100 we'll be happy to help. 2/2 ^SH,831817,2017-10-13 04:38:52+00:00
11,,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",1,44.87144109894007,@AmazonHelp Au secours c'est encore moi 😌 j'ai envoyé un mail. Et là je reçois un message de mon compte Amazon me disant que mon colis est dispo en point relais.. mais quel point relais le papier de la poste me dit qu'il sera dispo à la poste demain 😭,@722372 Que dit le suivi de votre commande SVP ? ^SM,2540311,2017-11-17 06:53:04+00:00
12,,"@115821 just lost my business for a while.  A Prime order shouldn't take over a week to get to my house (especially when the warehouse is two towns over), the cancellation is a mess, and their representatives are liars.  I want my money back!",1,37.197922178019006,@115821 Why do I pay for prime for two day shipping when my shipping is going to take over a week ??????,"@380007 Hi, Court! Some items have a longer processing time. You can find more information about this here: https://t.co/agO9JlvkYX ^HM",1101906,2017-10-23 22:57:31+00:00
13,,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,1,21.468786771071848,@115821 not a good service provide by Amazon and delivery is very poor,@158463 I'm sorry for the unpleasant experience. We'd like to work on it. Kindly report this to our support team (1/2)^AP,180617,2017-10-04 11:42:32+00:00
14,,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",1,30.053362926987273,Que sería de nuestras compras navideñas sin @116875,"@143192 ¡Hola Alex! ¡Nos encanta poder ser parte de estas fechas tan importantes para ti! 🙂Cuéntanos, ¿Que has comprado últimamente?  ^PC",122022,2017-11-24 00:01:58+00:00
15,,@132994 Don't buy this phone through @115850 @AmazonHelp no on time delivery,1,15.229634277144125,"Seems @115821 @AmazonHelp are up to their old tricks - this time buy through their global store and you have no rights,they say.",@182232 We'd like to help! Without adding personal/account information can you tell us more about what happened? ^ME,1142012,2017-10-24 15:39:16+00:00
16,,Hey @115850 when will be @118062 's reputation magazines available in Stock?,1,32.438923162872705,"@AmazonHelp Hi, when will the reputation magazines be available again to order from the UK site? https://t.co/CMx0q54dsG","@498074 Currently we don't have any further info on this product. Please keep checking back on the site for more info, Eleasha! ^CN",1626627,2017-11-05 18:45:01+00:00
17,,"Caro @120540 , io ti voglio bene e lo puoi capire anche dallo  storico dei miei ordini... 

PERÒ...

NON PUOI SCRIVERE ""SPEDIZIONE 1 GIORNO"" E POI ME LO FAI ARRIVARE LA SETTIMANA DOPO",1,48.05460520964653,"@120540  mi stai deludendo. Non puoi avere l'S8 allo stesso prezzo dei negozi. No, non lo accetto.",@415509 I prezzi sul nostro sito cambiano continuamente. Visita il catalogo di tanto in tanto per rimanere aggiornato! A presto! ^FS,1261464,2017-10-17 07:27:16+00:00
18,,@123813 ¿habrá ya app suya en Apple TV?,1,32.951842048969326,"@123813 Hola, ya tienen app para Apple TV?","@511591 Hola, actualmente no contamos con el dato. Cualquier novedad se puede ver directamente en el sitio web. ^KS",1661860,2017-10-17 16:25:53+00:00
19,,Habe von meinen Freunden einfach n Amazon Echo bekommen. Richtig NICE,1,19.615240303254872,@AmazonHelp Habe mittlerweile den Gutschein bekommen. Danke dennoch. 😍,@146135 Freut uns zu hören! Danke für die Rückmeldung :-) ^RS,1733917,2017-11-07 14:21:45+00:00
20,,"Listening to Winter Song by Sara Bareilles &amp; Ingrid Michaelson, on the album: The Hotel Café presents... Winter Songs - Thanks @115833",1,23.86811292265888,Winter is coming and this could be the best use of #shopping boxes. Approved by my #beagle @115850 https://t.co/WFSK4QD2SK,@441303 That's sooo cute😍! We'll be glad to spend this winter with your beagle❤️! ^MJ,1380268,2017-10-28 04:49:31+00:00
21,,"Hey @115821, could someone from customer service, kindly contact me? Thank you.",1,20.403777580480927,"@AmazonHelp Hi Amazon, can someone please help me? Not impressed with your customer service, or the seller","@513713 I'm sorry for the delayed response, Kathleen! Have you had a chance to view A-to-z Guarantee options?: https://t.co/JRVEi6v0Jm ^SD",1692602,2017-11-07 14:41:07+00:00
22,,I ordered something from @115821 on Tuesday told it would be arriving next Wednesday and now it says it will arrive Thursday when I'll be out of town. :(,1,36.2962335710734,"Hello @116316 I ordered something with Evening-Express (should be arriving today: Thursday, 23 November) but now @124285 says it will be arriving Tuesday 28th. How is that possible? Is it not going to be delivered today? https://t.co/AiiYJ1zuR6","@154410 Hey Alberto, of course you should get your package at the given time. Can you please contact our customer service. They will be pleased to help you: https://t.co/ohyvGrpvrY ^AM",695171,2017-11-23 15:23:50+00:00
23,,Excellent service by @115850: Item marked delivered before it's even delivered. Prepaid items left with watchman. One day delivery promise achieved. #pathetic #service #amazonin #AmazonPrime #CustomerService #CustomerExperience #customerfeedback,1,24.694339026244656,@AmazonHelp Item not delivered although shown delivered in My Orders. 2of the 3 items were delivered. Next step? #CustomerExperience #Amazon,@206312 Sorry to hear about this. Here's more info that may help: https://t.co/1rHKqMEJMH Please keep us posted. ^PK,380749,2017-10-09 09:10:31+00:00
24,,@AmazonHelp Your courier has failed twice to deliver my parcels. What’s the point of prime if they can’t get me my stuff??,1,30.951942567191765,What’s the point of having amazon prime if you can’t get your things on time 😒😒😩😩#amazonprime @115821,@548984 Oh no! Can you tell us a bit more about what's happened without revealing account information? ^RM,1829433,2017-10-29 00:48:00+00:00
25,,"Me da a mi que el repartidor va a dar muchas vueltas para encontrar el domicilio... 🤔 (la 4ª vez que me pasa lo mismo en menos de un mes, y siempre con #AmazonLogistics, muy mal -_-) @116928 https://t.co/ADKLviw72S",1,51.90435274974162,"@AmazonHelp Entro en el chat y ni idea de lo que va el tema , explicar lo mismo por cuarta vez ..... no sabía que yo era un bufón para divertirles",@157765 Me gustaría verificar personalmente tu caso. Ingresa a este enlace: https://t.co/3VbbUbYsSx ^CR,762442,2017-10-11 21:24:04+00:00
26,,"I live in Tehran, Iran and want to shop at @115821. How can you help @AmazonHelp?",1,18.904997238716668,"@AmazonHelp how many times you want details from ?

Can i get some details atleast once ?

In last 1week i hv provided at least 5 times",@162533 Please share your details in the link shared earlier and we'll get back to you. ^HN,197912,2017-10-04 13:09:48+00:00
27,,Alucino con Dash Button de @115821 @116928. No vaya a ser que tengamos que salir a la calle a comprar y mirar a los ojos de la gente.,1,41.321104005867376,"@AmazonHelp 3.Voy a la oficina y NO tienen el paquete.  Que vaya  la central, voy a la central y NO tienen ni idea de donde está el paquete.",@302947 Lamento las molestias. ¿Tu pedido ha sido gestionado por Amazon o un vendedor en nuestra página? ^JQ,765429,2017-10-11 22:48:22+00:00
28,,sux when you order stuff from amazon prime &amp; you get an email saying “sorry your package wasn’t delivered today” ummm I pay for prime for a reason 🙄,1,30.593960884077795,When you purposely order something on time &amp; with Amazon prime &amp; get an email saying the order is gonna be delayed. What the fuck?!,@596662 Sorry about that. Was there any reason given for the delay? ^ KK,2017546,2017-11-08 07:59:26+00:00
29,,Ugh. Back to the time now where filament orders from @115821 prime now take 3days to deliver,1,20.760889472414853,@AmazonHelp Prime Now is not working right. Showed 2hr delivery when shopping until checkout then no option to deliver until tmrw. Ugh. 😞,@708748 I'm sorry for the trouble! The time slots are first come first serve. Keep an eye on the website for any changes.^AY,2480141,2017-10-29 20:51:14+00:00
30,,"@JetBlue @115821 I don't see a place to purchase an annual membership, only a free trial. Do I start the free trial and get credited the points once the trial is over and I'm charged for the annual membership?",1,41.06787856844528,"@AmazonHelp I received an email about a free trial of movie channels. Is it all movie channels I get a free week trial to, or do I get that option just for one?",@151347 Can you please send us a screenshot of the e-mail so we can look further into it? ^WJ https://t.co/1XyLaGkcaN,2136245,2017-11-08 21:16:51+00:00
