golden_example_id,query,rank,customer_tweet_id,conversation_root,historical_customer_text,brand_response,cross_encoder_score,hybrid_score,bm25_score,dense_score,human_intent,retrieved_proxy_intent,intent_match
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1,1525093,1525093,@AmazonHelp this says my package was delivered to my mailbox but I never received it. I received orders in my mailbox before and after this https://t.co/nYqg56b0el,@473713 That's odd! We'd like to help! Here are some tips for locating your missing package: https://t.co/CxsKZv95YT ^HM,4.552122116088867,0.8673508248213905,27.76276592935192,0.7843557596206665,delivery_problem,order_issue,False
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",2,1197951,1197952,@AmazonHelp I followed all steps except waiting 36 hrs... I do not believe the package was delivered at all. what happens after 36 hrs?,"@401470 We suggest reaching us directly via phone or chat after waiting. Please, keep us updated! We want to make sure it arrives.^EB",4.4908623695373535,1.0,34.7843294350417,0.8374844193458557,delivery_problem,digital_product_support,False
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",3,1486659,1486657,@AmazonHelp There is no package and it's been well over 36 hours since it says it was delivered. Can anything be done about it?,"@465249 We don't have direct access to your account via Twitter, but we can view the available options here: https://t.co/hApLpMlfHN ^ME",4.481056213378906,0.48259017354135114,0.0,0.8083235025405884,delivery_problem,general_support,False
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",4,1298456,1298456,@AmazonHelp My package says it was delivered Monday but I never received it.,@423457 I'm sorry to hear this! Have you had a chance to report this to our Customer Support team: https://t.co/hApLpMlfHN? ^ME,3.9988181591033936,0.4721479116349034,32.84669700075087,0.0,delivery_problem,general_support,False
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",5,1646832,1646833,"@AmazonHelp Okay, it's been 48hrs, 72 hours since guaranteed delivery. No sign of the package. My order notifications say it was delivered to my mailbox Monday (which is secure), and it isn't there. What are my next steps?",@503178 We'd like to take a closer look at this with you. Please reach out to us here: https://t.co/hApLpMlfHN ^LJ,3.966144561767578,0.4807443523815292,0.0,0.8052318096160889,delivery_problem,order_issue,False
2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1,1304696,1304696,"@116875 tu asesor en lugar de tratar de hacer algo para q un paquete llegue a mi casa en tiempo, prefirio recomendar comprar en otro lado","@424877 Lamento lo sucedido, Artur. Me gustaría verificar y reportar tu experiencia en SAC. Escríbenos acá: https://t.co/lFwwV5iyJG ^JQ",4.483822822570801,0.9491338099734062,35.70980332971981,0.7202472686767578,delivery_status,general_support,False
2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",2,262149,262150,@116875 Hola @116875 estoy teniendo un problema para hacer una devolución. @178440 no me está ayudando. ¿A dónde puedo llamar?,"@178439 Lamento el inconveniente, Ricardo. ¿Tu pedido fue enviado por Amazon o un vendedor en nuestra página? ^JQ",3.7747721672058105,0.4811888834536685,35.98761586156484,0.0,delivery_status,general_support,False
2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",3,851589,851589,@116875 hola. Dónde me puedo comunicar para un reclamo?,"@322295 Hola, sin compartir información personal o de tu cuenta, ¿qué ha sucedido? ¿Cómo podemos ayudarte? ^LG",3.626903533935547,0.8389704871845552,29.288148327933925,0.6831405162811279,delivery_status,general_support,False
2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",4,2755671,2755671,Pues @116875 es tan efectivo que mi pedido ya va en camino... Pero como era asueto no habrá nadie para recibirlo. Deberían poner una opción para avisar que nadie estará en casa 😔,"@771284 Hola, Fer. Muchas gracias por la recomendación, en este caso, recuerda que para mayor información acerca de las entregas, puedes contactar directamente al transportista ^CB.",2.724470615386963,0.4457476204185915,0.0,0.6806784868240356,delivery_status,general_support,False
2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",5,1748111,1748111,@116875 como puedo cancelar un pedido de un libro para Kindle? Es una preventa,"@526967 Hola Guillermo, por favor, entra en contacto con Soporte al Cliente para que puedan darte asistencia: https://t.co/beR78zMMYB. ^DA",1.8149293661117554,0.45938597485936267,34.35699901621073,0.0,delivery_status,order_issue,False
