golden_example_id,query,rank,customer_tweet_id,conversation_root,historical_customer_text,brand_response,bm25_score,dense_score,bm25_norm,dense_norm,hybrid_score
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1,1197951,1197952,@AmazonHelp I followed all steps except waiting 36 hrs... I do not believe the package was delivered at all. what happens after 36 hrs?,"@401470 We suggest reaching us directly via phone or chat after waiting. Please, keep us updated! We want to make sure it arrives.^EB",34.7843294350417,0.8374844193458557,1.0,1.0,1.0
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",2,1399380,1399380,"@AmazonHelp when tracking says a package was delivered but you didn't get it, what do you do?","@445392 If an order is marked as delivered, but isn't received, please follow the steps shown here: https://t.co/jvb1Vhil81 ^GR",30.911385570680526,0.8096243143081665,0.8886583721099545,0.96673358405945,0.9276959780847023
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",3,343080,343089,"@AmazonHelp been over 36 hours, still no package",@197675 Who's the carrier listed for the order: https://t.co/Y5jpI9gRhE ^DO,28.17855451159962,0.8121507167816162,0.8100933658710285,0.9697502401489126,0.8899218030099706
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",4,707391,707391,"@AmazonHelp Hello, I ordered a package and it was marked as delivered on Amazon, but it has not arrived in my mailbox. What do I do?","@289113 We are here to help, Travis! Here are some helpful tips on finding your package: https://t.co/fO9lbXDqE2 Keep us updated! ^HM",26.71628310610509,0.8154262900352478,0.7680551426468246,0.973661445155198,0.8708582939010113
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",5,1525093,1525093,@AmazonHelp this says my package was delivered to my mailbox but I never received it. I received orders in my mailbox before and after this https://t.co/nYqg56b0el,@473713 That's odd! We'd like to help! Here are some tips for locating your missing package: https://t.co/CxsKZv95YT ^HM,27.76276592935192,0.7843557596206665,0.7981400354776924,0.9365616141650885,0.8673508248213905
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",6,162186,162182,@AmazonHelp My package still hasn’t arrived. Now what?,@153437 Could you please contact us so that we can look into this further for you? You can reach us here: https://t.co/CYqkdUakWJ. ^PJ,0.0,0.8284657001495361,0.0,0.989231179723482,0.494615589861741
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",7,822681,822681,"@AmazonHelp - My package is says delivered, but I haven't received it, I have tried contacting the seller but to no avail. What should I do?","@315965 I'm sorry you haven't received your package! Just to clarify, did you message the seller here: https://t.co/7ZQLFN2hX3? ^WJ",0.0,0.826181173324585,0.0,0.9865033357514883,0.49325166787574415
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",8,1693663,1693663,@AmazonHelp what do I do if I never received a package?,@385715 Please contact us via Phone or Chat here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR,0.0,0.8243288993835449,0.0,0.9842916242279631,0.49214581211398156
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",9,1179722,1179722,@AmazonHelp i still have not received my package after waiting the rare 36 hours. Id like instructions on how to follow up on this.,"@253648 We will need to take a closer look at this. You can call, chat, or e-mail us here: https://t.co/hApLpMlfHN ^LJ",0.0,0.8221111297607422,0.0,0.9816434918310226,0.4908217459155113
1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",10,2356788,2356788,@AmazonHelp My package says delivered but can not find. What to do?,@680834 Oh dear! I'm sorry about any frustration. Please follow the steps listed here first: https://t.co/0E3144BpBD And let us know if you need further assistance. ^SP,0.0,0.8156155347824097,0.0,0.9738874132362636,0.4869437066181318
